Número atômico;Símbolo;1-Grupo;2-Grupo antigo;3-Período;4-Nome;5-Name;6-Massa atômica;7-Ponto de fusão °C;8-Ponto de ebulição °C;9-Densidade g/mL;10-Eletronegatividade;11-Primeiro potencial de ionização (eV) ;12-Segundo potencial de ionização (eV) ;13-Terceiro potencial de ionização (eV) ;14-Primeiro potencial de ionização (kJ/mol) ;15-Segundo potencial de ionização (kJ/mol) ;16-Terceiro potencial de ionização (kJ/mol) ;17-Afinidade eletrônica (eV);18-Afinidade eletrônica (kJ/mol);19-Estados comuns de oxidação;20-Íons normalmente formados;21-Configuração eletrônica prevista;22-Configuração eletrônica observada;23-Raio atômico (Å) ;24-Raio iônico (Å) ;25-Raio covalente (Å) ;26-Raio (2- ion) pm;27-Raio (1- ion) pm;28-Raio atômico (pm);29-Raio (1+ ion) pm;30-Raio (2+ ion) pm;31-Raio (3+ ion) pm;32-Volume atômico (cm^3/mol) ;33-Estrutura cristalina;34-Registro CAS;35-Condutividade elétrica (mho/cm) ;36-Calor específico (J/g K) ;37-Calor de fusão (kJ/mol) ;38-Calor de vaporização (kJ/mol) ;39-Condutividade térmica (W/(m K)) ;40-mg/kg na Crosta terrestre;41-mg/L nos oceanos;42-Porcentagem em massa no corpo humano;43-Notas;44-Fontes;45Cor;46-Características;47-Estrutura;48-Dureza (mohs);49-Usos;50-Reação com ar;51-Reação com água;52-Reação com HCl 6M;53-Reação com HNO3 15M;54-Reação com NaOH 6M;55-Hidretos;56-Óxidos;57-Cloretos;58-Polarização (A^3);59-Calor de atomização (kJ/mol);60-Ano de descoberta;61-Abundância relativa no sistema solar (log);62-Abundância relativa na crosta terrestre (log);63-Custo puro ($/100g);64-Custo contaminado ($/100g);65-Toxico?;66-Cancerígeno?;Séries químicas;Metais;Origem;Configuração eletrônica;Ultimo subnível;Estado físico;Tabela muda;Teste1;Teste2;;25
1;H;1;I A;1;Hidrogênio;hydrogen;1,007975;-259,1;-252,9;0,0000699;2,2;13,5984;-;-;1312;-;-;0,75;72;±1;±1;1s1;1s1;0,79;1,54;0,32;-;-;37,1;-;-;-;14,4;hexagonal;1333-74-0;-;14,304;0,05868;0,44936;0,1815;1400;108000;10;-;Água, metano;incolor;diatomic,dens<air at r.t.;hcp: hexagonal close pkd;-;rocket fuel;vigorosa, =>H2O;nenhuma;nenhuma;nenhuma;nenhuma;H2;H2O;HCl;0,7;218;1766;10,4456042;3,1;12;-;-;-;5;;1;1;1;3;;FALSO;FALSO;;
2;He;18;VIII A;1;Hélio;helium;4,002602;-272,2;-268,9;0,000179;-;24,5874;54,416;-;2372;5250;-;<0;<0;0;-;1s2;1s2;0,49;-;0,93;-;-;31;-;-;-;19,5;hexagonal;7440-59-7;-;5,193;-;0,0845;0,152;0,008;7E-16;-;-;Gás natural, ar;incolor;Inert, dens<air at r.t.;-;-;cryogenics, blimps;nenhuma;nenhuma;nenhuma;nenhuma;nenhuma;nenhum;nenhum;nenhum;0,198;0;1895;9,434568904;-2,1;5,2;-;não;não;4;;1;1;1;3;;FALSO;FALSO;;
3;Li;1;I A;2;Lítio;lithium;6,9675;180,5;1342;0,543;0,98;5,3917;76,638;122,451;520;7394;11815;0,62;60;+1;+1;[He] 2s1;[He] 2s1;2,05;0,76;1,23;-;-;152;90;-;-;13,1;cúbica: corpo centrado;7439-93-2;0,108;3,6;3;145,92;84,7;20;0,18;-;-;Espodumena;prateado;soft, lightest solid;bcc: body-centered cubic;0,6;batteries, lubricant;vigorosa, =>Li2O;branda, =>H2, LiOH;vigorosa, =>H2, LiCl;vigorosa, =>LiNO3;branda, =>H2, LiOH;LiH;Li2O;LiCl;24,3;161;1817;1,756636108;1,3;27;-;-;-;2;1;1;1;1;1;;VERDADEIRO;VERDADEIRO;;
4;Be;2; II A ;2;Berílio;beryllium;9,0121831;1278;2970;1,85;1,57;9,3226;18,211;153,893;899;1757;14848;<0;<0;+2;+2;[He] 2s2;[He] 2s2;1,4;0,45;0,9;-;-;112;-;59;-;5;hexagonal;7440-41-7;0,313;1,82;12,2;292,4;200;2,8;0,0000056;-;-;Beryl (silicate);cinza;toxic;hcp: hexagonal close pkd;-;Cu alloys, X-ray windows;vigorosa, w/ht=>BeO,Be3N2;nenhuma;branda, =>H2;nenhuma;branda, =>H2, [Be(OH)4](2-);BeH2;BeO;BeCl2;5,6;324;1797;-0,13667714;0,4;530;59;sim;sim;2;2;1;1;1;1;;VERDADEIRO;VERDADEIRO;;
5;B;13;III A;2;Boro;boron;10,8135;2079;2550;2,34;2,04;8,298;25,154;37,93;801;2427;3660;0,28;27;+3;+3;[He] 2s2 2p1;[He] 2s2 2p1;1,17;0,23;0,82;-;-;85;-;-;41;4,6;romboédrico;7440-42-8;1E-12;1,02;50,2;489,7;27;10;4,44;0,00007;sublima;Boratos de sódio e cálcio;preto;"B12 icosahedra; 3 forms";special: B12 icosahedra;9,5;borax, glass making(B2O3);branda, w/ht =>B2O3;nenhuma;nenhuma;nenhuma;nenhuma;B2H6 e vários BxHy;B2O3;BCl3 e vários BxCly;3;573;1808;1,326335861;1;250;-;-;-;1;;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
6;C;14;IV A;2;Carbono;carbon;12,0106;3367;4827;2,25;2,55;11,2603;24,383;47,887;1086;2353;4620;1,26;122;±4;?4;[He] 2s2 2p2;[He] 2s2 2p2;0,91;0,16;0,77;-;-;77,2;-;-;-;4,58;hexagonal;7440-44-0;0,00061;0,71;-;355,8;129;200;28;23;grafite;Carvão, petróleo, gás natural;preto;6 forms: graphite,diamond;hexagonal layers;0,8;fuel(coal), lubricant;vigorosa, =>CO2;nenhuma;nenhuma;branda,w/ht=>C6(COOH)6;nenhuma;CH4 e vários CxHy;CO CO2;CCl4;1,8;717;-;7,004321374;2,3;2,4;-;-;não;5;;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
7;N;15;V A;2;Nitrogênio;nitrogen;14,006855;-209,9;-195,8;0,00125;3,04;14,5341;29,601;47,448;1402;2856;4578;<0;<0;?3;?3;[He] 2s2 2p3;[He] 2s2 2p3;0,75;1,71;0,75;-;-;70;-;-;30;17,3;hexagonal;77727-37-9;-;1,04;0,3604;2,7928;0,02598;19;50;2,6;-;Ar;incolor;diatomic(N2);-;-;fertilizer, cryogenics;nenhuma;nenhuma;nenhuma;nenhuma;nenhuma;NH3 N2H4 HN3;N2O NO NO2 N2O5;NCl3;1,1;473;1772;6,495544338;1,3;0,4;-;não;não;5;;1;1;2;3;;FALSO;FALSO;;
8;O;16;VI A;2;Oxigênio;oxygen;15,9994;-218,4;-183;0,00143;3,44;13,6181;35,117;54,934;1314;3388;5300;1,46;141;?2;?2;[He] 2s2 2p4;[He] 2s2 2p4;0,65;1,4;0,73;126;-;73;-;-;-;14;cúbica;7782-44-7;-;0,92;0,22259;3,4099;0,02674;461000;857000;61;-;Ar;incolor;diatomic,2 forms: O2, O3;-;-;rocket fuel, steel mfr.;nenhuma;nenhuma;nenhuma;nenhuma;nenhuma;H2O;O2 O3;Cl2O ClO2 Cl2O7;0,793;249;1774;7,376576957;5,7;0,3;-;não;não;5;;1;1;2;3;;FALSO;FALSO;;
9;F;17;VII A;2;Flúor;fluorine;18,99840316;-219,8;-188,1;0,0017;3,98;17,4228;34,97;62,707;1681;3374;6050;3,4;328;?1;?1;[He] 2s2 2p5;[He] 2s2 2p5;0,57;1,33;0,72;-;119;72;-;-;-;12,6;cúbica;7782-41-4;-;0,82;0,2552;3,2698;0,0279;585;1,3;0,0033;-;Fluorita;incolor;diatomic(F2), corrosive;layers of F2;-;fluorocarbons, toothpaste;nenhuma;vigorosa, =>HF, OF2;vigorosa, =>HF, OF2, ClF3;-;vigorosa, =>O2, NaF;HF;OF2;ClF ClF3 ClF5;0,634;79;1886;2,925827575;2,8;190;-;sim;não;3;;1;1;2;3;;FALSO;FALSO;;
10;Ne;18;VIII A;2;Neônio;neon;20,1797;-248;-248,7;0,0009;-;21,5645;40,962;63,45;2081;3952;6122;<0;<0;0;-;[He] 2s2 2p6;[He] 2s2 2p6;0,51;-;0,71;-;-;71;-;-;-;17,3;cúbica: face centrada;7440-01-9;-;0,904;0,3317;1,7326;0,0493;0,005;0,00012;-;-;Ar;incolor;Inert, dens<air at r.t.;fcc: face-centered cubic;-;Neon signs;nenhuma;nenhuma;nenhuma;nenhuma;nenhuma;nenhum;nenhum;nenhum;0,396;0;1898;6,536558443;-2,3;33;-;não;não;4;;1;1;2;3;;FALSO;FALSO;;
